update_date,non_comm_long,non_comm_short,non_comm_arb,comm_long,comm_short,open interest
2000/9/19,35285,6449,2920,31952,70364,86436
2000/9/26,34361,6359,2805,32272,67868,83849
2000/10/3,23990,5554,4078,35618,59728,76591
2000/10/10,19448,5478,4069,37556,57493,73934
2000/10/17,16149,7273,3765,42218,55093,73377
2000/10/24,12019,9920,3670,46491,51924,73429
2000/10/31,9716,15254,3191,47381,43541,70240
2000/11/7,11229,17706,2963,48451,42568,72662
2000/11/14,10792,21694,3279,50515,41230,75391
2000/11/21,10339,24001,2678,52121,41009,76579
2000/11/28,10018,21080,2896,50936,43159,74806
2000/12/5,10784,16106,3653,48122,46844,73783
2000/12/12,11264,9949,3063,43511,49815,68665
2000/12/19,12355,9596,2804,44029,49805,68522
2000/12/26,12805,11741,2802,43241,46756,69156
2001/1/2,13520,15671,3036,44221,43186,71735
2001/1/9,15768,21469,4561,48863,43565,79511
2001/1/16,16395,21705,4690,51139,45198,82086
2001/1/23,12091,16609,5976,46391,45949,77340
2001/1/30,12302,17203,4682,48534,46390,77620
2001/2/6,11908,18451,4450,47783,42364,75733
2001/2/13,12032,20490,4264,46321,39974,75140
2001/2/20,12631,20800,4151,45280,40174,74601
2001/2/27,16451,29197,4269,49915,35886,80196
2001/3/6,12629,18719,3630,42830,39615,71973
2001/3/13,10453,18072,3345,45991,40967,69879
2001/3/20,14348,27535,3800,53379,39739,80458
2001/3/27,14579,30196,3984,54409,39765,84833
2001/4/3,16051,34432,4898,54324,35758,85987
2001/4/10,15799,37043,4832,55736,34562,87851
2001/4/17,15938,38111,4532,52734,31088,84566
2001/4/24,15335,34652,4146,50716,31379,80539
2001/5/1,14687,31553,4069,45586,30399,75177
2001/5/8,13435,28166,2873,44392,31408,71209
2001/5/15,15031,33403,3462,47659,29713,77317
2001/5/22,14066,21547,2601,41730,37691,70667
2001/5/29,14165,21575,3098,41394,39178,72650
2001/6/5,13450,28440,4298,43489,32326,76275
2001/6/12,16020,35948,4851,52460,33267,85167
2001/6/19,17513,38959,5384,52552,32020,88398
2001/6/26,17836,40854,4152,57678,35514,89548
