index,update_date,open,return_rate,volume,high,low,invest_signal,min5,max5,out,record,accu_return,max_draw
2015-09-24,2015-09-24,372.34,0.00290478956267,1605500.0,375.86,370.92,1.0,367.74,395.47,1.0,2,-0.140901880234,0.169765433199
2015-09-25,2015-09-25,375.6,0.00871733199036,3455100.0,380.27,369.22,1.0,367.74,391.58,1.0,2,-0.132184548244,0.161048101208
2015-10-19,2015-10-19,364.88,0.00277187141455,2467200.0,365.65,361.0,1.0,360.53,381.99,1.0,1,-0.129412676829,0.158276229794
2015-10-20,2015-10-20,363.91,-0.00266194808596,2395300.0,367.46,361.28,1.0,360.53,372.53,1.0,2,-0.132074624915,0.16093817788
2015-10-21,2015-10-21,361.81,-0.00578737215838,2929800.0,365.02,356.87,1.0,360.53,372.53,1.0,2,-0.137861997073,0.166725550038
2015-10-22,2015-10-22,358.46,-0.00930213435566,2262200.0,362.33,354.85,1.0,356.87,371.36,1.0,2,-0.147164131429,0.176027684394
2015-10-23,2015-10-23,357.86,-0.00167522933974,2011600.0,361.48,355.76,1.0,354.85,367.46,1.0,2,-0.148839360769,0.177702913733
2015-10-26,2015-10-26,360.29,0.00676741425626,2071800.0,362.33,356.04,1.0,354.85,367.46,1.0,2,-0.142071946513,0.170935499477
2015-10-27,2015-10-27,355.28,-0.0140030517361,2811600.0,358.7,351.09,1.0,354.85,367.46,1.0,2,-0.156074998249,0.184938551213
2015-10-28,2015-10-28,354.61,-0.00188761695175,2537000.0,356.96,347.76,1.0,351.09,365.02,1.0,2,-0.1579626152,0.186826168165
2015-10-29,2015-10-29,349.03,-0.0158607156386,2605500.0,350.7,346.76,1.0,347.76,362.33,1.0,2,-0.173823330839,0.202686883804
2015-10-30,2015-10-30,353.19,0.0118482773647,3116900.0,355.34,349.26,1.0,346.76,362.33,1.0,2,-0.161975053474,0.190838606439
2015-11-02,2015-11-02,352.68,-0.00144502553939,2127800.0,353.68,349.69,1.0,346.76,362.33,1.0,2,-0.163420079014,0.192283631978
2015-11-03,2015-11-03,344.73,-0.0227996282812,4088500.0,349.99,337.95,1.0,346.76,358.7,1.0,2,-0.186219707295,0.21508326026
2015-11-04,2015-11-04,341.25,-0.0101461554385,2481400.0,345.61,340.15,1.0,337.95,356.96,1.0,2,-0.196365862733,0.225229415698
2015-11-05,2015-11-05,343.43,0.00636795982574,2765200.0,349.03,340.35,1.0,337.95,355.34,1.0,2,-0.189997902908,0.218861455872
2015-11-06,2015-11-06,338.88,-0.0133372439119,2703300.0,344.07,337.56,1.0,337.95,355.34,1.0,2,-0.203335146819,0.232198699784
2015-11-09,2015-11-09,339.35,0.00138596073673,2675900.0,345.09,339.22,1.0,337.56,353.68,1.0,2,-0.201949186083,0.230812739047
2015-11-10,2015-11-10,341.84,0.007310768186,1727100.0,344.41,339.11,1.0,337.56,349.99,1.0,2,-0.194638417897,0.223501970861
2015-11-11,2015-11-11,340.98,-0.00251896679868,1402800.0,342.23,337.91,0.5,337.56,349.03,1.0,2,-0.197157384695,0.22602093766
2016-02-04,2016-02-04,332.96,0.0352425720676,3726900.0,337.34,326.01,0.5,315.01,327.06,1.0,1,-0.161914812628,0.190778365592
2016-02-05,2016-02-05,330.27,-0.0081118608949,1904400.0,336.59,328.65,1.0,315.04,337.34,1.0,2,-0.170026673523,0.198890226487
2016-02-15,2016-02-15,327.23,-0.00924721418326,1608100.0,337.36,326.1,1.0,318.72,337.34,1.0,2,-0.179273887706,0.208137440671
2016-02-16,2016-02-16,336.06,0.0266264278826,1753400.0,336.89,332.79,1.0,319.78,337.36,1.0,2,-0.152647459823,0.181511012788
2016-02-17,2016-02-17,338.41,0.00696846267308,2537000.0,338.5,332.87,1.0,320.93,337.36,1.0,2,-0.14567899715,0.174542550115
2016-02-18,2016-02-18,334.57,-0.0114120528845,2620200.0,338.99,332.5,1.0,326.01,338.5,1.0,2,-0.157091050035,0.185954602999
2016-02-19,2016-02-19,339.59,0.0148928823577,3689700.0,348.11,337.85,1.0,326.1,338.99,1.0,2,-0.142198167677,0.171061720642
2016-03-01,2016-03-01,363.68,0.0224397353751,6945700.0,374.17,361.23,0.5,353.21,371.76,1.0,1,-0.119758432302,0.148621985267
2016-03-02,2016-03-02,372.79,0.0247408983131,5772400.0,379.67,370.2,1.0,353.21,374.17,1.0,2,-0.0950175339889,0.123881086954
2016-03-03,2016-03-03,379.57,0.0180237746369,4856300.0,384.01,373.75,1.0,353.21,379.67,1.0,2,-0.076993759352,0.105857312317
2016-03-04,2016-03-04,379.61,0.000105376854071,7288100.0,388.59,372.07,1.0,353.21,384.01,1.0,2,-0.0768883824979,0.105751935463
2016-07-27,2016-07-27,442.79,0.0492283911193,2396200.0,448.26,428.46,0.5,404.03,433.6,1.0,1,-0.0276599913787,0.0565235443433
2016-07-28,2016-07-28,447.8,0.0112510871444,1987000.0,456.15,444.0,1.0,404.03,448.26,1.0,2,-0.0164089042343,0.045272457199
2016-08-11,2016-08-11,453.3,-0.0395982149021,2120000.0,466.43,447.75,0.5,442.98,485.24,1.0,1,-0.0560071191364,0.0848706721011
2016-08-12,2016-08-12,450.32,-0.00659571679103,1617600.0,452.14,443.8,1.0,447.75,485.24,1.0,2,-0.0626028359275,0.0914663888921
2016-08-15,2016-08-15,432.44,-0.0405148527312,2262800.0,443.07,427.21,1.0,443.8,485.24,1.0,2,-0.103117688659,0.131981241623
2016-08-16,2016-08-16,440.41,0.0182625227965,2028900.0,449.49,431.67,1.0,427.21,485.24,1.0,2,-0.0848551658622,0.113718718827
2016-09-07,2016-09-07,416.85,-0.0181148870193,2412100.0,422.33,403.53,0.5,405.57,428.59,1.0,1,-0.102970052882,0.131833605846
2016-09-08,2016-09-08,402.18,-0.0358266952587,1768200.0,408.55,399.27,1.0,403.53,428.59,1.0,2,-0.13879674814,0.167660301105
2016-09-09,2016-09-09,401.12,-0.00263911518794,1417600.0,406.47,398.59,0.5,399.27,428.59,1.0,2,-0.141435863328,0.170299416293
