update_date,close
2012/3/9,107.42
2012/3/12,106.75
2012/3/13,106.63
2012/3/14,105.59
2012/3/15,105.86
2012/3/16,107.09
2012/3/19,108.1
2012/3/20,106.28
2012/3/21,107.02
2012/3/22,105.64
2012/3/23,106.83
2012/3/26,107.15
2012/3/27,106.97
2012/3/28,105.71
2012/3/29,103.17
2012/3/30,102.9
2012/4/2,105.06
2012/4/3,103.97
2012/4/4,102.16
2012/4/5,103.24
2012/4/10,101.05
2012/4/11,102.58
2012/4/12,103.73
2012/4/13,102.83
2012/4/16,103.12
2012/4/17,104.23
2012/4/18,102.77
2012/4/19,102.41
2012/4/20,104.05
2012/4/23,103.06
2012/4/24,103.81
2012/4/25,103.96
2012/4/26,104.04
2012/4/27,104.76
2012/4/30,104.89
2012/5/1,105.96
2012/5/2,105.38
2012/5/3,102.75
2012/5/4,98.5
2012/5/8,97.3
2012/5/9,96.35
2012/5/10,96.54
2012/5/11,95.75
2012/5/14,94
2012/5/15,93.12
2012/5/16,92.75
2012/5/17,92.7
2012/5/18,91.51
2012/5/21,92.52
2012/5/22,91.6
2012/5/23,90.59
2012/5/24,90.8
2012/5/25,90.93
2012/5/28,91.19
2012/5/29,90.76
2012/5/30,87.82
2012/5/31,86.53
2012/6/1,83.23
2012/6/6,85.02
2012/6/7,84.82
2012/6/8,84.1
2012/6/11,82.7
2012/6/12,83.32
2012/6/13,82.62
2012/6/14,83.91
2012/6/15,84.03
2012/6/18,83.27
2012/6/19,84.03
2012/6/20,81.45
2012/6/21,78.2
2012/6/22,79.76
2012/6/25,79.21
2012/6/26,79.36
2012/6/27,80.21
2012/6/28,77.69
2012/6/29,84.96
2012/7/2,83.75
2012/7/3,87.66
2012/7/4,87.05
2012/7/5,87.22
2012/7/6,84.45
2012/7/9,85.99
2012/7/10,83.91
2012/7/11,85.81
2012/7/12,86.08
2012/7/13,87.1
2012/7/16,88.43
2012/7/17,89.22
2012/7/18,89.87
2012/7/19,92.66
2012/7/20,91.83
2012/7/23,88.14
2012/7/24,88.5
2012/7/25,88.97
2012/7/26,89.39
2012/7/27,90.13
2012/7/30,89.78
2012/7/31,88.06
2012/8/1,88.91
2012/8/2,87.13
2012/8/3,91.4
2012/8/6,92.2
2012/8/7,93.67
2012/8/8,93.35
2012/8/9,93.36
2012/8/10,92.87
2012/8/13,92.73
2012/8/14,93.43
2012/8/15,94.33
2012/8/16,95.6
2012/8/17,96.01
2012/8/20,95.97
2012/8/21,96.84
2012/8/22,97.26
2012/8/23,96.27
2012/8/24,96.15
2012/8/28,96.33
2012/8/29,95.49
2012/8/30,94.62
2012/8/31,96.47
2012/9/3,97.14
2012/9/4,95.3
2012/9/5,95.36
2012/9/6,95.53
2012/9/7,96.42
2012/9/10,96.54
2012/9/11,97.17
2012/9/12,97.01
2012/9/13,98.31
2012/9/14,99
2012/9/17,96.62
2012/9/18,95.29
2012/9/19,91.98
2012/9/20,92.42
2012/9/21,92.89
2012/9/24,91.93
2012/9/25,91.37
2012/9/26,89.98
2012/9/27,91.85
2012/9/28,92.19
2012/10/1,92.48
2012/10/2,91.89
