update_date,open,high,low,close,amt,volume,position_all
2014/3/21,736.43,736.43,736.43,736.43,69050.9,938300,2195086
2014/3/24,746.43,746.43,746.43,746.43,101317.23,1386100,2292850
2014/3/25,760.95,760.95,760.95,760.95,81931.21,1088600,2264950
2014/3/26,760.27,760.27,760.27,760.27,51832.58,685000,2241460
2014/3/27,758.6,758.6,758.6,758.6,60708.33,796600,2202600
2014/3/28,782.59,782.59,782.59,782.59,64328.08,835000,2149800
2014/3/31,794.54,794.54,794.54,794.54,84463.95,1069300,2180578
2014/4/1,801.02,801.02,801.02,801.02,64886.96,815900,2177836
2014/4/2,785.17,785.17,785.17,785.17,76267.69,968600,2256556
2014/4/3,799.98,799.98,799.98,799.98,99441,1256800,2198714
2014/4/4,807.92,807.92,807.92,807.92,56071.4,699700,2193428
2014/4/8,824.74,824.74,824.74,824.74,70775.57,861300,2169740
2014/4/9,818.66,818.66,818.66,818.66,60750.26,737200,2206860
2014/4/10,816.14,816.14,816.14,816.14,56975.41,694700,2264360
2014/4/11,813.85,813.85,813.85,813.85,39727.09,488800,2285500
2014/4/14,802.68,802.68,802.68,802.68,67879.02,843200,2210100
2014/4/15,811.34,811.34,811.34,811.34,52702.08,656000,2219746
2014/4/16,796.55,796.55,796.55,796.55,55696.21,696500,2292696
2014/4/17,794.32,794.32,794.32,794.32,32949.5,413000,2299316
2014/4/18,779.61,779.61,779.61,779.61,88280.26,1128600,2296400
2014/4/21,779.54,779.54,779.54,779.54,38344.04,490500,2264206
2014/4/22,777.29,777.29,777.29,777.29,47816.28,617100,2240948
2014/4/23,784.04,784.04,784.04,784.04,39678.3,510100,2228050
2014/4/24,792.17,792.17,792.17,792.17,54195.28,685900,2246434
2014/4/25,792.45,792.45,792.45,792.45,33593.96,422200,2230386
2014/4/28,758.5,758.5,758.5,758.5,76138.39,992100,2308014
2014/4/29,769.04,769.04,769.04,769.04,50246.08,653900,2226626
2014/4/30,762.64,762.64,762.64,762.64,49797.13,652600,2272094
2014/5/5,768.9,768.9,768.9,768.9,34618.71,453300,2258318
2014/5/6,765.3,765.3,765.3,765.3,32729.45,425800,2257530
2014/5/7,746.52,746.52,746.52,746.52,58113.79,766400,2316722
2014/5/8,733.36,733.36,733.36,733.36,56875.7,766200,2355540
2014/5/9,733.35,733.35,733.35,733.35,35193.36,478000,2471786
2014/5/12,738.76,738.76,738.76,738.76,65868.3,898200,2450704
2014/5/13,737.79,737.79,737.79,737.79,47504.56,640100,2487322
2014/5/14,736.12,736.12,736.12,736.12,38499.96,522000,2500158
2014/5/15,735.12,735.12,735.12,735.12,41201.32,557800,2638924
2014/5/16,714.71,714.71,714.71,714.71,75746.07,1049000,2749902
2014/5/19,704.5,704.5,704.5,704.5,80337.45,1134700,2776686
2014/5/20,697.35,697.35,697.35,697.35,59593.4,849900,2809088
2014/5/21,705.96,705.96,705.96,705.96,51371.33,727700,2745088
2014/5/22,711.81,711.81,711.81,711.81,64582.91,900600,2692560
2014/5/23,704.95,704.95,704.95,704.95,48055.46,676400,2654014
2014/5/26,719.36,719.36,719.36,719.36,83803.03,1167500,2444232
2014/5/27,721.46,721.46,721.46,721.46,34669.79,481400,2409926
2014/5/28,704.72,704.72,704.72,704.72,58411.53,823200,2491308
2014/5/29,700.77,700.77,700.77,700.77,61938.65,882400,2455600
2014/5/30,679.78,679.78,679.78,679.78,71789.66,1047500,2565168
2014/6/3,682.56,682.56,682.56,682.56,46000.71,675900,2646546
2014/6/4,690.82,690.82,690.82,690.82,48655.27,707700,2619754
2014/6/5,688.29,688.29,688.29,688.29,60689.68,884000,2636186
2014/6/6,689.28,689.28,689.28,689.28,57057.8,828200,2530986
2014/6/9,690.23,690.23,690.23,690.23,40134.6,582600,2541156
2014/6/10,686.23,686.23,686.23,686.23,46009.26,671300,2573488
2014/6/11,681.77,681.77,681.77,681.77,36108.7,528600,2620924
2014/6/12,668.15,668.15,668.15,668.15,55234.3,823100,2616940
