,update_date,open,high,low,close,volume,Date,volume,invest_signal,return_rate
2016-02-05,2016-02-05 09:05:00,13881.06,13881.06,13811.93,13817.11,16654.0,2016-02-05 00:00:00,368500,1.0,-0.00809764364775
2016-02-15,2016-02-15 09:05:00,13769.11,13833.21,13750.65,13809.15,16524.0,2016-02-15 00:00:00,230800,1.0,-0.00508586061433
2016-02-16,2016-02-16 09:05:00,13699.26,13724.22,13683.3,13717.74,10158.0,2016-02-16 00:00:00,401300,1.0,-0.00380597889152
2016-02-17,2016-02-17 09:05:00,13647.22,13648.72,13623.09,13636.45,8028.0,2016-02-17 00:00:00,372500,1.0,-0.00335943317937
2016-02-18,2016-02-18 09:05:00,13601.45,13610.8,13586.41,13601.71,7118.0,2016-02-18 00:00:00,319900,1.0,0.0110842129906
2016-02-19,2016-02-19 09:05:00,13753.05,13766.7,13728.24,13731.99,10156.0,2016-02-19 00:00:00,546500,1.0,0.0249999916086
2016-02-22,2016-02-22 09:05:00,14101.21,14271.01,14101.21,14178.98,29838.0,2016-02-22 00:00:00,588400,1.0,0.00833536779089
2016-02-23,2016-02-23 09:05:00,14219.24,14219.63,14191.47,14200.12,9764.0,2016-02-23 00:00:00,609100,1.0,-0.0147182697967
2016-02-24,2016-02-24 09:05:00,14011.49,14040.67,14011.49,14037.66,8062.0,2016-02-24 00:00:00,566700,1.0,0.0199348769512
2016-02-25,2016-02-25 09:05:00,14293.61,14311.78,14256.73,14307.51,25932.0,2016-02-25 00:00:00,807000,1.0,-0.0256105941709
2016-02-26,2016-02-26 09:05:00,13932.19,13965.23,13911.65,13963.58,16818.0,2016-02-26 00:00:00,895500,1.0,0.0117217119531
2016-02-29,2016-02-29 09:05:00,14096.46,14137.48,14072.2,14075.88,16714.0,2016-02-29 00:00:00,930300,1.0,0.00188805267791
2016-03-01,2016-03-01 09:05:00,14123.1,14162.01,14123.1,14152.1,15678.0,2016-03-01 00:00:00,640000,1.0,0.00681586914573
2016-03-02,2016-03-02 09:05:00,14219.69,14256.97,14193.96,14256.53,18372.0,2016-03-02 00:00:00,695200,1.0,0.0110925016986
2016-03-03,2016-03-03 09:05:00,14378.3,14416.81,14366.69,14415.01,16632.0,2016-03-03 00:00:00,673700,1.0,0.00765857236277
2016-03-04,2016-03-04 09:05:00,14488.84,14513.82,14479.87,14498.97,16888.0,2016-03-04 00:00:00,822800,1.0,0.0132823780661
2016-03-07,2016-03-07 09:05:00,14682.57,14682.57,14509.77,14523.67,38906.0,2016-03-07 00:00:00,1297000,1.0,-0.0240197620165
2016-03-08,2016-03-08 09:05:00,14334.1,14382.68,14328.76,14374.81,14268.0,2016-03-08 00:00:00,1039300,1.0,-0.0291774558299
2016-03-09,2016-03-09 09:05:00,13921.91,14019.3,13897.18,14018.26,21010.0,2016-03-09 00:00:00,985900,1.0,0.0186626958985
2016-03-10,2016-03-10 09:05:00,14184.17,14185.11,14125.69,14150.46,19538.0,2016-03-10 00:00:00,703200,1.0,-0.0110220356278
