,DCE豆一,,,,,
,A.DCE,,,,,
日期,开盘价,最高价,最低价,收盘价,成交量,涨跌幅
Date,open,high,low,close,volume,pct_chg
2016-12-12,4185.0000,4234.0000,4166.0000,4198.0000,197078.0000,0.8165
2016-12-13,4186.0000,4227.0000,4163.0000,4217.0000,149034.0000,0.2615
2016-12-14,4218.0000,4236.0000,4172.0000,4192.0000,162526.0000,-0.2854
2016-12-15,4190.0000,4236.0000,4165.0000,4211.0000,173078.0000,0.2142
2016-12-16,4200.0000,4386.0000,4193.0000,4349.0000,442174.0000,3.4737
2016-12-19,4360.0000,4412.0000,4318.0000,4347.0000,362842.0000,0.7650
2016-12-20,4350.0000,4358.0000,4245.0000,4270.0000,295466.0000,-2.2883
2016-12-21,4271.0000,4407.0000,4252.0000,4371.0000,471894.0000,1.5567
2016-12-22,4375.0000,4416.0000,4339.0000,4341.0000,422184.0000,-0.2528
2016-12-23,4330.0000,4363.0000,4281.0000,4342.0000,404254.0000,-0.8223
2016-12-26,4346.0000,4361.0000,4103.0000,4143.0000,479348.0000,-4.0528
2016-12-27,4140.0000,4209.0000,4126.0000,4183.0000,281654.0000,-0.9941
2016-12-28,4196.0000,4275.0000,4177.0000,4191.0000,299454.0000,0.6726
2016-12-29,4203.0000,4377.0000,4161.0000,4322.0000,608312.0000,2.4171
2016-12-30,4329.0000,4341.0000,4259.0000,4279.0000,312620.0000,-0.2797
2017-01-03,4270.0000,4311.0000,4208.0000,4217.0000,204190.0000,-1.8389
2017-01-04,4220.0000,4287.0000,4193.0000,4285.0000,285182.0000,0.9185
2017-01-05,4285.0000,4296.0000,4241.0000,4260.0000,224458.0000,0.5666
2017-01-06,4248.0000,4323.0000,4233.0000,4267.0000,270432.0000,-0.0937
2017-01-09,4262.0000,4291.0000,4185.0000,4211.0000,352130.0000,-1.5892
2017-01-10,4211.0000,4233.0000,4143.0000,4169.0000,291642.0000,-1.3488
2017-01-11,4163.0000,4214.0000,4161.0000,4174.0000,288396.0000,-0.2628
2017-01-12,4170.0000,4198.0000,4088.0000,4112.0000,339852.0000,-1.7678
