category_buy,buy_sum,buy_chg,category_sell,sell_sum,update_date
期货公司  ,77886,5900,期货公司  ,72966,2016-12-14
非期货公司,200,0,非期货公司,5120,2016-12-14
期货公司  ,27151,619,期货公司  ,23851,2016-12-14
非期货公司,0,0,非期货公司,3300,2016-12-14
期货公司  ,31064,1643,期货公司  ,27994,2016-12-14
非期货公司,0,0,非期货公司,3070,2016-12-14
期货公司  ,320434,9209,期货公司  ,295876,2016-12-14
非期货公司,3800,0,非期货公司,28358,2016-12-14
期货公司  ,3320,-1370,期货公司  ,4920,2016-12-15
非期货公司,1600,100,非期货公司,0,2016-12-15
期货公司  ,42607,-2104,期货公司  ,38727,2016-12-15
非期货公司,1800,300,非期货公司,5680,2016-12-15
期货公司  ,144928,9996,期货公司  ,134762,2016-12-15
非期货公司,800,200,非期货公司,10966,2016-12-15
期货公司  ,82527,4641,期货公司  ,77585,2016-12-15
非期货公司,200,0,非期货公司,5142,2016-12-15
期货公司  ,27736,585,期货公司  ,24236,2016-12-15
非期货公司,0,0,非期货公司,3500,2016-12-15
期货公司  ,31851,787,期货公司  ,28781,2016-12-15
非期货公司,0,0,非期货公司,3070,2016-12-15
期货公司  ,332969,12535,期货公司  ,309011,2016-12-15
非期货公司,4400,600,非期货公司,28358,2016-12-15
期货公司  ,42297,-310,期货公司  ,38447,2016-12-16
非期货公司,1800,0,非期货公司,5650,2016-12-16
期货公司  ,148176,3248,期货公司  ,138010,2016-12-16
非期货公司,800,0,非期货公司,10966,2016-12-16
期货公司  ,85920,3393,期货公司  ,80978,2016-12-16
非期货公司,200,0,非期货公司,5142,2016-12-16
期货公司  ,27980,244,期货公司  ,24480,2016-12-16
非期货公司,0,0,非期货公司,3500,2016-12-16
期货公司  ,32577,726,期货公司  ,29507,2016-12-16
非期货公司,0,0,非期货公司,3070,2016-12-16
期货公司  ,336950,7301,期货公司  ,311422,2016-12-16
非期货公司,2800,0,非期货公司,28328,2016-12-16
期货公司  ,365336,6003,期货公司  ,340608,2016-12-19
非期货公司,2880,80,非期货公司,27608,2016-12-19
期货公司  ,362233,-3103,期货公司  ,337605,2016-12-20
非期货公司,2920,40,非期货公司,27548,2016-12-20
期货公司  ,347860,-14373,期货公司  ,324332,2016-12-21
非期货公司,2920,0,非期货公司,26448,2016-12-21
期货公司  ,339587,-8273,期货公司  ,316119,2016-12-22
非期货公司,2940,20,非期货公司,26408,2016-12-22
期货公司  ,344964,5377,期货公司  ,321646,2016-12-23
非期货公司,2920,-20,非期货公司,26238,2016-12-23
期货公司  ,341388,-3576,期货公司  ,320460,2016-12-26
非期货公司,3220,300,非期货公司,24148,2016-12-26
期货公司  ,339540,-1848,期货公司  ,318482,2016-12-27
非期货公司,3190,-30,非期货公司,24248,2016-12-27
期货公司  ,344477,4937,期货公司  ,323239,2016-12-28
非期货公司,3570,380,非期货公司,24808,2016-12-28
期货公司  ,345348,871,期货公司  ,323610,2016-12-29
非期货公司,3070,-500,非期货公司,24808,2016-12-29
期货公司  ,329796,-15552,期货公司  ,308008,2016-12-30
非期货公司,3120,50,非期货公司,24908,2016-12-30
期货公司  ,18830,-2437,期货公司  ,16330,2016-11-01
非期货公司,500,0,非期货公司,3000,2016-11-01
期货公司  ,91846,-8377,期货公司  ,81757,2016-11-01
非期货公司,2200,0,非期货公司,12289,2016-11-01
期货公司  ,88292,5261,期货公司  ,78902,2016-11-01
非期货公司,800,0,非期货公司,10190,2016-11-01
期货公司  ,77081,5738,期货公司  ,70299,2016-11-01
非期货公司,500,0,非期货公司,7282,2016-11-01
期货公司  ,32839,2596,期货公司  ,28521,2016-11-01
非期货公司,0,0,非期货公司,4318,2016-11-01
期货公司  ,17322,456,期货公司  ,16092,2016-11-01
非期货公司,0,0,非期货公司,1230,2016-11-01
期货公司  ,26817,488,期货公司  ,26817,2016-11-01
非期货公司,0,0,非期货公司,0,2016-11-01
期货公司  ,353027,3725,期货公司  ,318718,2016-11-01
非期货公司,4000,0,非期货公司,38309,2016-11-01
期货公司  ,16080,-2750,期货公司  ,15230,2016-11-02
非期货公司,500,0,非期货公司,1350,2016-11-02
期货公司  ,78645,-13201,期货公司  ,69256,2016-11-02
非期货公司,2200,0,非期货公司,11589,2016-11-02
期货公司  ,92938,4646,期货公司  ,82548,2016-11-02
非期货公司,800,0,非期货公司,11190,2016-11-02
期货公司  ,77398,317,期货公司  ,71016,2016-11-02
非期货公司,900,400,非期货公司,7282,2016-11-02
期货公司  ,35596,2757,期货公司  ,31278,2016-11-02
非期货公司,0,0,非期货公司,4318,2016-11-02
期货公司  ,17629,307,期货公司  ,16399,2016-11-02
非期货公司,0,0,非期货公司,1230,2016-11-02
期货公司  ,27312,495,期货公司  ,27312,2016-11-02
非期货公司,0,0,非期货公司,0,2016-11-02
期货公司  ,345598,-7429,期货公司  ,313039,2016-11-02
非期货公司,4400,400,非期货公司,36959,2016-11-02
期货公司  ,14990,-1090,期货公司  ,14440,2016-11-03
非期货公司,500,0,非期货公司,1050,2016-11-03
期货公司  ,68229,-10416,期货公司  ,59240,2016-11-03
非期货公司,2200,0,非期货公司,11189,2016-11-03
期货公司  ,95392,2454,期货公司  ,84202,2016-11-03
非期货公司,800,0,非期货公司,11990,2016-11-03
期货公司  ,76509,-889,期货公司  ,69927,2016-11-03
非期货公司,900,0,非期货公司,7482,2016-11-03
期货公司  ,36399,803,期货公司  ,31881,2016-11-03
非期货公司,0,0,非期货公司,4518,2016-11-03
期货公司  ,18217,588,期货公司  ,16987,2016-11-03
非期货公司,0,0,非期货公司,1230,2016-11-03
期货公司  ,27219,-93,期货公司  ,27219,2016-11-03
非期货公司,0,0,非期货公司,0,2016-11-03
期货公司  ,336955,-8643,期货公司  ,303896,2016-11-03
非期货公司,4400,0,非期货公司,37459,2016-11-03
期货公司  ,13795,-1195,期货公司  ,13375,2016-11-04
非期货公司,500,0,非期货公司,920,2016-11-04
