Date,PX_LAST,FUT_AGGTE_OPEN_INT
2016/1/25,199.8,203938
2016/1/22,200.25,199749
2016/1/21,199.65,200552
2016/1/20,195.95,199031
2016/1/19,197.75,199011
2016/1/15,194.35,201346
2016/1/14,197.6,200802
2016/1/13,195.6,198133
2016/1/12,195.9,193520
2016/1/11,197.25,188366
2016/1/8,202.2,180872
2016/1/7,202.2,179355
2016/1/6,208.8,171286
2016/1/5,209.55,171819
2016/1/4,207.95,172277
2015/12/31,213.5,165641
2015/12/30,214.65,165985
2015/12/29,213.65,167689
2015/12/28,207.9,171448
2015/12/24,212.4,169267
2015/12/23,212.45,170121
2015/12/22,210.9,170210
2015/12/21,214,172336
2015/12/18,211.25,174599
2015/12/17,204.35,179563
2015/12/16,207.15,176109
2015/12/15,205.65,178761
2015/12/14,211.15,175250
2015/12/11,211.65,175383
2015/12/10,207.25,178097
2015/12/9,206.6,178422
2015/12/8,205.4,179248
2015/12/7,205.1,182026
2015/12/4,207.9,178660
2015/12/3,206.1,182792
2015/12/2,203.3,184860
2015/12/1,207.15,180517
2015/11/30,204.85,178769
2015/11/27,205.75,178428
2015/11/25,204.9,181131
2015/11/24,206.9,186199
2015/11/23,202.15,190587
2015/11/20,205.95,194451
2015/11/19,208.3,193688
2015/11/18,208.3,192722
2015/11/17,211.15,193328
2015/11/16,212.55,195352
2015/11/13,217.6,188124
2015/11/12,217.25,185361
2015/11/11,221.8,176500
2015/11/10,221.75,173872
2015/11/9,223,176774
2015/11/6,224.2,176740
2015/11/5,225.5,173178
2015/11/4,232.25,166320
2015/11/3,233.05,165386
2015/11/2,231.9,165488
2015/10/30,231.75,166310
2015/10/29,232.1,167824
2015/10/28,236.25,167402
2015/10/27,236.2,165946
2015/10/26,235.7,162788
2015/10/23,235,164481
2015/10/22,238.35,163809
2015/10/21,236.05,163296
2015/10/20,236.55,162963
2015/10/19,236.75,164523
2015/10/16,240.35,161560
2015/10/15,242.3,162229
2015/10/14,241.55,159580
2015/10/13,238.75,156482
2015/10/12,241.55,156917
2015/10/9,241.4,159781
2015/10/8,234.3,155059
2015/10/7,236.7,154377
2015/10/6,235.5,153387
2015/10/5,235.55,153335
2015/10/2,232.55,151955
2015/10/1,230.45,152674
2015/9/30,234.1,152530
2015/9/29,225.15,151710
2015/9/28,225.15,151824
2015/9/25,228.35,149146
2015/9/24,230.25,149525
2015/9/23,229.55,150092
2015/9/22,229.75,152575
2015/9/21,238.85,150295
2015/9/18,238.6,150707
2015/9/17,245.2,153893
2015/9/16,245.2,153837
2015/9/15,242.65,154631
2015/9/14,240.55,155209
2015/9/11,245.35,155350
2015/9/10,244.7,155271
2015/9/9,243.65,155150
2015/9/8,243.4,159016
2015/9/4,231.2,156461
2015/9/3,238.45,158859
2015/9/2,232.95,159070
2015/9/1,230.15,158648
2015/8/31,233.75,157487
2015/8/28,234.6,159167
2015/8/27,232.85,160887
2015/8/26,223.5,163125
2015/8/25,230.05,166991
2015/8/24,224.8,172041
2015/8/21,229.85,173709
2015/8/20,231.75,180976
2015/8/19,227.75,188532
2015/8/18,228.6,191265
2015/8/17,232.15,193001
2015/8/14,235.3,193723
2015/8/13,235.3,196593
2015/8/12,235,193665
2015/8/11,233.15,195117
2015/8/10,240,188535
2015/8/7,233.25,184460
2015/8/6,234.1,182263
2015/8/5,234.85,182067
2015/8/4,236.2,181276
2015/8/3,234.6,175698
2015/7/31,236.35,172388
2015/7/30,237.7,169704
2015/7/29,240.75,167627
2015/7/28,240.25,163656
2015/7/27,235.35,164559
2015/7/24,238.25,167280
2015/7/23,238.55,170205
2015/7/22,242.8,167911
2015/7/21,247.45,165842
2015/7/20,248.15,166717
2015/7/17,249.6,164977
2015/7/16,252.3,163390
2015/7/15,252.15,163664
2015/7/14,253.5,161713
2015/7/13,254.45,160897
2015/7/10,253.75,159985
2015/7/9,255.15,163168
2015/7/8,249.7,165363
2015/7/7,244.65,167008
2015/7/6,253.8,167416
2015/7/2,263.1,164887
2015/7/1,263.05,167716
2015/6/30,261.5,166278
2015/6/29,263.35,167715
2015/6/26,263.55,168557
2015/6/25,261.95,170293
2015/6/24,262.4,178275
2015/6/23,261.5,184635
2015/6/22,257.1,184379
2015/6/19,257.5,187895
2015/6/18,261.15,184555
2015/6/17,260.85,181222
2015/6/16,262.05,181765
2015/6/15,265,180908
2015/6/12,268.3,182055
2015/6/11,267.5,182666
2015/6/10,274.7,174766
2015/6/9,271.4,171541
2015/6/8,269.65,171223
2015/6/5,269.25,168673
2015/6/4,268.7,166122
2015/6/3,272.65,162421
2015/6/2,273.6,160759
2015/6/1,272,161756
2015/5/29,272.8,163898
2015/5/28,276.75,165166
2015/5/27,276.85,169542
2015/5/26,277.8,172622
2015/5/22,281.1,175840
2015/5/21,284.85,178074
2015/5/20,282.9,177100
2015/5/19,283.75,179210
2015/5/18,290.65,182741
2015/5/15,292.45,185346
2015/5/14,292.35,182590
2015/5/13,292.9,179782
2015/5/12,293.15,178077
2015/5/11,290.3,171913
2015/5/8,292.05,170667
2015/5/7,291.8,168406
2015/5/6,292.6,167367
2015/5/5,293.5,166179
2015/5/4,292.05,166838
2015/5/1,292.95,165548
2015/4/30,288.65,161617
2015/4/29,279.9,155353
2015/4/28,278.65,154447
2015/4/27,277.7,154601
2015/4/24,275.3,153869
2015/4/23,270.2,158756
2015/4/22,267.7,160075
2015/4/21,270.55,157721
2015/4/20,273,158759
2015/4/17,277,162953
2015/4/16,276.75,164008
2015/4/15,270.95,162554
2015/4/14,270.05,165760
2015/4/13,272,166098
2015/4/10,273.4,171414
2015/4/9,272.9,171758
2015/4/8,273.15,169342
2015/4/7,276.3,171006
2015/4/6,271.7,168063
2015/4/3,#N/A N/A,168702
2015/4/2,273.4,168702
2015/4/1,274.85,169874
2015/3/31,274,170125
2015/3/30,278.15,170249
2015/3/27,276.75,166692
2015/3/26,281.1,165698
2015/3/25,279.2,167321
2015/3/24,280.3,165590
2015/3/23,278.95,165556
2015/3/20,276.1,168961
2015/3/19,266,164370
2015/3/18,257.05,166336
2015/3/17,263.3,164490
2015/3/16,266.75,163154
2015/3/13,266.35,161474
2015/3/12,265.85,161123
2015/3/11,260.6,163394
2015/3/10,262.4,164239
2015/3/9,267.05,167357
2015/3/6,260.9,166309
2015/3/5,265.25,164841
2015/3/4,265.95,164408
2015/3/3,265.65,163020
2015/3/2,269.75,164511
2015/2/27,269.15,164018
2015/2/26,269.45,165610
2015/2/25,264.35,166430
2015/2/24,263.95,171520
2015/2/23,258.65,170422
2015/2/20,259.1,173987
2015/2/19,261.55,176826
2015/2/18,261,181296
2015/2/17,258.05,185675
2015/2/13,260.65,185259
2015/2/12,260.2,186390
2015/2/11,254.1,185313
2015/2/10,255.15,185606
2015/2/9,258.05,182305
2015/2/6,258.55,182308
2015/2/5,259.5,179373
2015/2/4,259.1,181551
2015/2/3,258.15,180944
2015/2/2,249,184122
2015/1/30,249.45,183078
2015/1/29,245.15,182472
2015/1/28,247.95,180383
2015/1/27,246.25,179152
2015/1/26,254.3,176498
2015/1/23,250.15,179101
2015/1/22,257.85,174806
2015/1/21,261.25,172812
2015/1/20,259.4,172846
2015/1/16,261.7,174080
2015/1/15,255.8,177047
2015/1/14,250.55,180396
2015/1/13,264.4,179459
2015/1/12,272.55,174600
2015/1/9,275.45,173431
2015/1/8,276.95,174379
2015/1/7,275.85,171869
2015/1/6,276.7,170037
2015/1/5,276.6,168064
2015/1/2,281.75,163445
2014/12/31,282.55,160435
2014/12/30,285.4,159107
2014/12/29,282.2,161137
2014/12/26,281.4,157711
2014/12/24,285.35,154546
2014/12/23,286.6,152816
2014/12/22,287.25,151908
2014/12/19,288.45,151629
2014/12/18,285.35,152877
2014/12/17,287.05,150820
2014/12/16,285.85,152045
2014/12/15,287.85,154534
2014/12/12,293.4,149587
2014/12/11,292.1,150745
2014/12/10,289.3,151702
2014/12/9,292.75,152267
2014/12/8,288.55,160028
2014/12/5,290.25,160109
2014/12/4,291.45,159966
2014/12/3,287.2,160894
2014/12/2,289.15,159261
2014/12/1,289.8,159349
2014/11/28,284.6,164062
2014/11/26,295.65,158905
2014/11/25,297.75,160924
2014/11/24,300.6,157144
2014/11/21,302.9,161266
2014/11/20,301.15,165406
2014/11/19,303.25,166387
2014/11/18,299.2,176417
2014/11/17,303.15,173545
2014/11/14,303.85,177645
2014/11/13,298.9,180183
2014/11/12,301.8,172655
2014/11/11,303.3,170361
2014/11/10,302,167579
2014/11/7,303.85,167426
2014/11/6,301.75,166647
2014/11/5,300.75,165763
2014/11/4,301.85,164942
2014/11/3,306.5,161249
2014/10/31,304.7,162702
2014/10/30,306.25,165899
2014/10/29,310.45,169948
2014/10/28,309.3,169924
2014/10/27,306.4,176401
2014/10/24,304.1,176096
2014/10/23,304,176485
2014/10/22,301.75,175858
2014/10/21,302.8,175541
2014/10/20,298.8,178297
2014/10/17,300.35,178317
2014/10/16,298.15,180775
2014/10/15,300.9,175229
2014/10/14,309,167530
2014/10/13,304.05,172453
2014/10/10,303.5,165969
2014/10/9,303,168688
2014/10/8,300.35,173205
2014/10/7,303.9,167622
2014/10/6,303.55,167867
2014/10/3,299.85,166271
2014/10/2,299.85,163470
2014/10/1,303.6,158367
2014/9/30,300.75,160389
2014/9/29,305.65,157316
2014/9/26,303.55,155926
2014/9/25,303,155253
2014/9/24,305.35,151411
2014/9/23,303.5,152016
2014/9/22,303.85,149561
2014/9/19,309.15,144699
2014/9/18,309.4,143241
2014/9/17,314.35,142164
2014/9/16,316.6,143370
2014/9/15,308.55,147466
2014/9/12,310.65,146340
2014/9/11,309.25,146218
2014/9/10,311.05,143535
2014/9/9,310.2,144047
2014/9/8,316.85,141084
2014/9/5,316.95,140454
2014/9/4,315.1,140135
2014/9/3,312.7,138601
2014/9/2,315.5,136370
2014/8/29,316.05,136073
2014/8/28,315.05,138305
2014/8/27,319.85,141097
2014/8/26,321.25,146526
2014/8/25,323.7,145817
2014/8/22,322.3,144401
2014/8/21,319.5,145567
2014/8/20,319.75,148253
2014/8/19,311.9,152025
2014/8/18,313.35,152264
