YM;ZT;ZM;LW;X;SL;L;LD;J;ZL;J;TA;PVC;DY
1812.77 ;5281.20 ;15766.50 ;4161.72 ;18148.68 ;11391.91 ;15962.79 ;4047.77 ;248.88 ;6861.91 ;21775.28 ;7881.61 ;7550.40 ;7919.43 
1821.86 ;5211.63 ;15785.33 ;4229.00 ;18154.97 ;11176.98 ;16159.88 ;4001.25 ;249.29 ;6825.56 ;21563.07 ;7821.71 ;7489.22 ;7851.80 
1819.79 ;5304.17 ;15789.44 ;4291.26 ;18414.81 ;11232.66 ;16242.85 ;4017.72 ;250.71 ;6849.57 ;21705.94 ;7903.14 ;7493.88 ;7872.45 
1820.42 ;5288.62 ;15744.74 ;4328.93 ;18614.89 ;11487.18 ;16529.24 ;3993.32 ;249.71 ;6839.45 ;21706.95 ;7912.20 ;7647.83 ;7832.07 
1831.47 ;5358.65 ;16080.86 ;4303.76 ;18612.80 ;11527.85 ;16424.73 ;4027.03 ;248.33 ;6859.65 ;21766.63 ;7885.92 ;7568.28 ;7836.27 
1834.94 ;5330.42 ;16014.44 ;4308.69 ;18725.74 ;11719.76 ;16431.88 ;4047.47 ;252.38 ;6972.24 ;22815.93 ;7963.17 ;7627.69 ;7921.39 
1833.39 ;5334.98 ;15898.42 ;4306.27 ;18912.00 ;11708.30 ;16405.07 ;4030.63 ;249.74 ;6996.43 ;23033.96 ;7864.12 ;7615.19 ;7887.29 
1827.51 ;5292.87 ;16019.14 ;4299.20 ;19152.90 ;12031.68 ;16319.54 ;3966.53 ;245.40 ;6920.51 ;23373.77 ;7859.88 ;7534.78 ;7785.97 
1828.68 ;5329.88 ;15943.02 ;4336.94 ;19361.58 ;11878.16 ;16287.33 ;3959.15 ;246.80 ;6833.29 ;23185.83 ;7921.50 ;7524.09 ;7738.33 
1822.44 ;5296.76 ;15958.11 ;4333.80 ;19139.17 ;11814.97 ;16316.61 ;3952.67 ;242.43 ;6761.35 ;23003.68 ;7736.10 ;7467.59 ;7674.17 
